,HolderAddress,Balance,PendingBalanceUpdate
42,0x17d9d43a73b317b6eb201b6ef482b787c2917355,401399496.432332,No
317,0xbc24b373a1f7c50ee948404465ff3988a184b584,2954852637.80003,No
294,0xab4e13c7e658f0c41292a5ad7e5c41cd15febe05,227055330.976226,No
348,0xce313cbbf777bea8d5213c04e3a8954bfbce81a5,572365155.791973,No
177,0x6c1031f3e3bae326a5343e6b1605d42b1f9b1de8,2967615360.79815,No
249,0x96501927163c32ba990d0cbe6f42593c88460af5,11171804296.4837,No
351,0xd2307993d61d59150e5ab4c26fcc4b06cefd33ab,1799134959.01271,No
371,0xde5bacdd8c08d7c006c8238f15b45e843b914f80,122228360.0946,No
321,0xbf260d5b1d458b214daf5f022739441757647351,3932902304.83007,No
121,0x49dfba008e80aebd9ee5cbffc92581b5335ae887,7494866334.67023,No
312,0xb8e8a92249036bad0256b294a6064696a54406c7,7400265.76166649,No
194,0x74981746ec48ea08135c42121d1121a59fd23683,55000000.8302264,No
362,0xd7e8716a17e868487c252f6cce642b4deca28bc5,500000000.0,No
319,0xbdc72711b0c133b1ecc023ff8820106a2534255f,342794280.86,No
183,0x6e9bd0f5e7314c2d60230f017de016dc5020df64,2884087425.17525,No
25,0x0f4135db5004dff32463cb5b84445f122c58c5ff,333888380.0,No
113,0x401cc1b6620e30ade449bb8f593a0d0799fbac93,652198341.410883,No
397,0xebc0ead19bb59cedf1565ff6e1a1f1b4751586a7,932700000.0,No
138,0x5596a75dc796f5045c14b4a764272d772d79ff79,1726173792.25443,No
395,0xea998ce933acd1c815e70e49a149243b0a7fcd64,352104733.665743,No
298,0xae7427a80b9a4a3eb6d0e7f0c539987b3ae224fc,80797252.8632889,No
76,0x2b41c2125ab3d47f1ec411b0421af47afb58348d,38280434.5037757,No
284,0xa720ae34a450691fb29e748b07d7b4d584415c9a,48112743.5282175,No
175,0x6b934e9ecdd7fcf5cfc3c08adc9916dc28017bc3,277802850.077693,No
405,0xf1adb99cc857e3956a474c98e4c6113cdebf303b,206543620.0,No
230,0x8cbd74f303e6a946e4c43b1b3a4b05f0898a166d,1320000000.0,No
6,0x042a154ede61e25b4220cbc83e76c79f8c0d3926,4768052123.36823,No
75,0x2b3bff13b42aa7d6f2f507d8227bfbcf72c05807,269172387.391804,No
136,0x550e291df5045cb33504ce19b00fd412481cfdb8,5668629151.11587,No
197,0x78d229f32cfec42f873f4960ab5cddfb8c0cf10c,1113778770.47124,No
153,0x60a26a50fc427ec56baac31515e33654d86dfb42,3610356801.467,No
181,0x6d57abd7fa7986573d9633ead1e265612603e6b0,65035320.0094458,No
226,0x8b259887114f77e43ced2f2b6bd3af8c52cb6dab,2038356690.28,No
82,0x2d3ad90fcf272135009520a310f486d12c9a4231,34356570.09546,No
376,0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,1481701442.44,No
419,0xfe1d80ecbef9a2de460d956d935f6dc52d092a41,70770990.1388687,No
128,0x4e71f7f6d86b58211d6426e2ea385555cac7bfe5,684298.85203189,No
14,0x0cea992872a467c94ed231da81a13a04f214822c,338250034.399382,No
305,0xb4cef3ca34db5a5ea3116dcd924d318bcbd7ad17,79966046.1463954,No
315,0xbb5b9da5941ca21b1b78336e76d7517f62ed7c8a,296074866.299815,No
203,0x7c715b4f831fe71c15f86d36a7ea39d92e71b306,11315125947.1402,No
